SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,Yaxis
1353,10,21243,0
1354,9,21252,0
1355,6,21258,0
1356,13,21271,0
1357,11,21282,0
1358,9,21291,0
1359,6,21297,0
1360,5,21302,0
1361,9,21311,0
1362,6,21317,0
1363,6,21323,0
1364,8,21331,0
1365,5,21336,0
1366,7,21343,0
1367,7,21350,0
1368,7,21357,0
1369,15,21372,0
1370,23,21395,0
1371,30,21425,0
1372,15,21440,0
1373,9,21449,0
1374,12,21461,0
1375,3,21464,0
1376,6,21470,0
1377,8,21478,0
1378,17,21495,0
1379,5,21500,0
1380,21,21521,0
1381,36,21557,0
1382,41,21598,0
1383,14,21612,0
1384,24,21636,0
1385,10,21646,0
1386,6,21652,0
1387,24,21676,0
1388,12,21688,0
1389,29,21717,0
1390,16,21733,0
1391,16,21749,0
1392,10,21759,0
1393,8,21767,0
1394,10,21777,0
1395,8,21785,0
1396,13,21798,0
1397,11,21809,0
1398,7,21816,0
1399,13,21829,0
1400,16,21845,0
1401,15,21860,0
1402,8,21868,0
1403,20,21888,0
1404,21,21909,0
1405,6,21915,0
1406,21,21936,0
1407,12,21948,0
1408,7,21955,0
1409,8,21963,0
1410,8,21971,0
1411,6,21977,0
1412,11,21988,0
1413,13,22001,0
1414,21,22022,0
1415,16,22038,0
1416,32,22070,0
1417,40,22110,0
1418,38,22148,0
1419,6,22154,0
1420,12,22166,0
1421,10,22176,0
1422,23,22199,0
1423,20,22219,0
1424,10,22229,0
1425,19,22248,0
1426,9,22257,0
1427,13,22270,0
1428,6,22276,0
1429,5,22281,0
1430,5,22286,0
1431,6,22292,0
1432,5,22297,0
1433,5,22302,0
1434,5,22307,0
1435,5,22312,0
1436,5,22317,0
1437,5,22322,0
1438,5,22327,0
1439,4,22331,0
1440,4,22335,0
1441,4,22339,0
1442,6,22345,0
1443,5,22350,0
1444,5,22355,0
1445,5,22360,0
1446,5,22365,0
1447,5,22370,0
1448,7,22377,0
1449,18,22395,0
1450,12,22407,0
1451,11,22418,0
1452,5,22423,0
1453,10,22433,0
1454,10,22443,0
1455,8,22451,0
1456,10,22461,0
1457,6,22467,0
1458,7,22474,0
1459,5,22479,0
1460,5,22484,0
1461,9,22493,0
1462,8,22501,0
1463,23,22524,0
1464,21,22545,0
1465,7,22552,0
1466,8,22560,0
1467,9,22569,0
1468,19,22588,0
1469,30,22618,0
1470,7,22625,0
1471,24,22649,0
1472,11,22660,0
1473,11,22671,0
1474,14,22685,0
1475,22,22707,0
1476,25,22732,0
1477,30,22762,0
1478,26,22788,0
1479,8,22796,0
1480,12,22808,0
1481,8,22816,0
1482,5,22821,0
1483,7,22828,0
